Group;Interventions;Descriptions/mechanisms of action;Indications;Recommended Dose;Maximum Dose;
Biological non-pharmacological;bright light therapy;"also known as phototherapy, was originally used to treat patients with seasonal affective disorder and refers to the use of glare therapy to treat mood symptoms. The International Society of Bipolar Disorders (ISBD) Task Force on Chronobiology and Chronotherapy recommended BLT as the strongest evidence among current chronotherapeutic options in the acute treatment of bipolar depression.

Takeshima M, Utsumi T, Aoki Y, Wang Z, Suzuki M, Okajima I, Watanabe N, Watanabe K, Takaesu Y. Efficacy and safety of bright light therapy for manic and depressive symptoms in patients with bipolar disorder: A systematic review and meta-analysis. Psychiatry Clin Neurosci. 2020; 74(4):247-256. doi: 10.1111/pcn.12976.

Wang S, Zhang Z, Yao L, Ding N, Jiang L, Wu Y. Bright light therapy in the treatment of patients with bipolar disorder: A systematic review and meta-analysis. PLoS One. 2020; 15(5):e0232798. doi: 10.1371/journal.pone.0232798.

Gottlieb JF, Benedetti F, Geoffroy PA, Henriksen TEG, Lam RW, Murray G, Phelps J, Sit D, Swartz HA, Crowe M, Etain B, Frank E, Goel N, Haarman BCM, Inder M, Kallestad H, Jae Kim S, Martiny K, Meesters Y, Porter R, Riemersma-van der Lek RF, Ritter PS, Schulte PFJ, Scott J, Wu JC, Yu X, Chen S. The chronotherapeutic treatment of bipolar disorders: A systematic review and practice recommendations from the ISBD task force on chronotherapy and chronobiology. Bipolar Disord. 2019; 21(8):741-773. doi: 10.1111/bdi.12847.";;;;
Pharmacological;bupropion;norepinephrine, dopamine inhibiteur recapture (NET, DAT), relâche (NE, DA);;;;
Pharmacological;carbamazepine;glutamate voltage-gated sodium and calcium channel blocker;Acute manic and mixed episodes in bipolar I disorder;Initial dose: 200 mg orally twice a day, Increase by 200 mg per day to achieve optimal response;1600 mg per day;
Psychosocial;carer focused intervention;"psychological interventions that aim to improve the experience of caregiving in bipolar disorder. Common components of these psychoeducational interventions include education about the nature of bipolar disorder, triggers and warning signs, treatment, management, and the impact on and role of caregivers. 

Baruch E, Pistrang N, Barker C. Psychological interventions for caregivers of people with bipolar disorder: A systematic review and meta-analysis. J Affect Disord. 2018; 236:187-198. doi: 10.1016/j.jad.2018.04.077. ";;;;
Pharmacological;cariprazine;dopamine, serotonin receptor partial agonist (D3/2, 5-HT1A), receptor antagonist (5-HT2B);Manic or Mixed Episodes associated with Bipolar I Disorder;3–6 mg once daily;6 mg daily;
Pharmacological;cariprazine;dopamine, serotonin receptor partial agonist (D3/2, 5-HT1A), receptor antagonist (5-HT2B);Depressive Episodes associated with Bipolar Disorder;1.5 or 3 mg once daily;3 mg daily;
Psychosocial;CBT ;"is usually given in an individual or group format and aims at modifying maladaptive thoughts through cognitive restructuring. CBT has also behavioral components including interpersonal skills training, behavioral activation, or scheduling pleasurable life events to provide social reinforcement, problem solving, and “third-wave” components such as mindfulness, acceptance, and commitment. Some CBT programs may have only elements of behavioral or third-wave therapies without cognitive restructuring. 

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021; 78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993";;;;
Pharmacological;celecoxib;nonsteroidal anti-inflammatory drug (NSAID);;;;
Pharmacological;chlorpromazine;dopamine, serotonin receptor antagonist (D2, 5-HT2);;;;
Nutraceutical;choline;essential nutrient, precursor of acetylcholine and a methyl donor in various metabolic processes, and in lipid metabolism.;;;;
Pharmacological;citalopram;serotonin reuptake inhibition (SERT);;;;
Pharmacological;clonazepam;GABA positive allosteric modulator, GABA-A receptor, benzodiazepine site;;;;
Nutraceutical;coenzyme Q10;antioxidant, a lipid-soluble and essential cofactor in mitochondrial oxidative phosphorylation;;;;
Nutraceutical;creatine;essential, non-proteinaceous amino acid constituent of skeletal muscle tissue of vertebrates, and is obtained through the diet or is endogenously synthesized in the body;;;;
Pharmacological;desipramine;norepinephrine reuptake inhibitor (NET);;;;
Pharmacological;dexamphetamine;dopamine, norepinephrine reuptake inhibitor (DAT, NET), releaser (DA, NE);;;;
Nutraceutical;dextromethorphan;NMDA receptor antagonist;;;;
Pharmacological;divalproate;anticonvulsant may act through multiple mechanisms. It may increase gamma-aminobutyric acid (GABA)-mediated neurotransmission, modulate voltage-gated sodium channels, affect signaling systems including Wnt/beta-catenin and ERK pathways, and interfere with inositol and arachidonate metabolism.; Acute management of mania associated with bipolar disorder; Initial dose is 750 mg daily increasing as rapidly as possible to achieve therapeutic response or desired plasma level. ;60 mg/kg/day.;
Biological non-pharmacological;ECT;a brain stimulation medical treatment used for severe mental health conditions, particularly when other treatments haven't worked well enough. During ECT, a small amount of electric current is passed through the brain, intentionally triggering a brief seizure. ECT devices are categorized as Class II devices for treating catatonia or severe major depressive episodes linked with major depressive disorder or bipolar disorder in patients aged 13 years and older who exhibit treatment resistance or necessitate a rapid response due to the severity of their psychiatric or medical condition.;;;;
Pharmacological;endoxifen;a secondary tamoxifen metabolite, potent antiestrogen exhibiting estrogen receptor alpha (ER?) binding;;;;
Pharmacological;erythropoietin;glycoprotein hormone which stimulates red blood cell formation;;;;
Pharmacological;escitalopram;serotonin reuptake inhibitor (SERT);;;;
Pharmacological;esketamine;N-methyl-d-aspartate (NMDA) receptor antagonist and S-enantiomer of racemic ketamine;;;;
Pharmacological;eslicarbazepine;anticonvulsant acting as voltage-gated sodium channel blocker;;;;
Psychosocial;family focused therapy ;"is a psychosocial intervention for adults and children with bipolar disorder and their caregivers (parents, spouse, or extended relatives), usually given in conjunction with pharmacotherapy. Programs involve conjoint sessions of psychoeducation regarding bipolar disorder, communication enhancement training, and problem-solving skills training.

Miklowitz DJ, Chung B. Family-Focused Therapy for Bipolar Disorder: Reflections on 30 Years of Research. Fam Process. 2016; 55(3):483-99. doi: 10.1111/famp.12237.

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021; 78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.";;;;
Psychosocial;family/conjoint therapy;"have common elements including the involvement of the family, psychoeducation, and skills training. Family/conjoint therapy may be also labeled as family-focused psychoeducation, family-focused therapy, inpatient family intervention, behavioral family management, psychoeducational marital therapy, multifamily group psychoeducation, caregiver-focused psychoeducation, or conjoint psychoeducation. 

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021 Feb 1;78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.";;;;
Pharmacological;fluoxetine;serotonin reuptake inhibitor (SERT);Depressive Episodes associated with Bipolar I Disorder in adults ;Oral in combination with olanzapine: Start at 5 mg of oral olanzapine and 20 mg of fluoxetine once daily;;
Pharmacological;fluoxetine;serotonin reuptake inhibitor (SERT);Depressive Episodes associated with Bipolar I Disorder in children and adolescents ;Oral in combination with olanzapine: Start at 2.5 mg of oral olanzapine and 20 mg of fluoxetine once daily;;
Nutraceutical;folic acid;member of the B vitamin family and an essential cofactor for enzymes involved in DNA and RNA synthesis;;;;
Psychosocial;functional remediation;"is an intervention that has been shown to improve outcomes in people with bipolar disorder by reducing global disability and improving interpersonal and occupational functioning. Unlike patient and family psychoeducation, cognitive behavioural therapy and interpersonal social rhythm therapy, it focuses on psychosocial adjustment rather than mood improvement or relapse prevention.  Vieta E, Torrent C. Functional remediation: the pathway from remission to recovery in bipolar disorder. World Psychiatry. 2016 Oct;15(3):288-289. doi: 10.1002/wps.20351. ";;;;
Pharmacological;gabapentin;glutamate alpha-2 delta calcium channel blocker;;;;
Pharmacological;galantamine;acetylcholine enzyme inhibitor (acetylcholinesterase), alpha -7 nicotinic receptor positive allosteric modulator;;;;
Pharmacological;haloperidol;dopamine receptor antagonist (D2);;;;
Pharmacological;idazoxan;selective ?2 adrenergic receptor antagonist;;;;
Pharmacological;imipramine;serotonin, norepinephrine reuptake inhibitor (SERT and NET);;;;
Pharmacological;infliximab;monoclonal antibody acting as tumor necrosis factor (TNF-?) blocker;;;;
Nutraceutical;inositol;nutrient supplement working as second messenger in several cellular processes;;;;
Pharmacological;insulin;recombinant form of human insulin used to control hyperglycemia caused by Type 1 and Type 2 Diabetes;;;;
Psychosocial;Interpersonal and social rhythm therapy (IPSRT);"is an individual therapy with two components: interpersonal problem solving and social rhythm regularization, such as maintaining regular sleep/wake and other daily routines. 

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021; 78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.";;;;
Pharmacological;ketamine;glutamate NMDA antagonist;;;;
Pharmacological;l-sulpride ;prokinetic agent and peripheral dopamine D2 receptor antagonist;;;;
Pharmacological;lamotrigine;glutamate voltage-gated sodium channel blocker;Bipolar Disorder in patients ?18 years of age: maintenance treatment of Bipolar I Disorder to delay the time to occurrence of mood episodes in patients treated for acute mood episodes with standard therapy;200 mg/day;;
Pharmacological;levetiracetam;antiepileptic drug acting as a modulator of synaptic neurotransmitter release through binding to the synaptic vesicle protein SV2A in the brain;;;;
Pharmacological;licarbazepine;antiepileptic drug acting as voltage-gated sodium channels inhibitor;;;;
Pharmacological;lisdexamfetamine;dopamine, norepinephrine reuptake inhibitor (DAT, NET), releaser (DA, NE);;;;
Pharmacological;lithium;lithium enzyme modulator. Inhibition of Inositol monophosphatase, adenylyl-cyclase, GMP, glycogen synthase kinase 3;Treatment of acute manic and mixed episodes in patients 7 years and older;Titrate to serum lithium concentrations 0.8 to 1.2 mEq/L;;
Pharmacological;lithium;lithium enzyme modulator. Inhibition of Inositol monophosphatase, adenylyl-cyclase, GMP, glycogen synthase kinase 4;Maintenance Treatment for Bipolar I Disorder (patients 7 years and older);Titrate to serum lithium concentrations 0.8 to 1 mEq/L;;
Pharmacological;lumateperone;serotonin 5-HT2A receptor antagonist, a dopamine D2 receptor presynaptic partial agonist and postsynaptic antagonist, a D1 receptor–dependent modulator of glutamate, and a serotonin reuptake inhibitor.;Depressive episodes associated with bipolar I or II disorder (bipolar depression) in adults, as monotherapy and as adjunctive therapy with lithium or valproate.;42 mg administered orally once daily;42 mg/day;
Pharmacological;lurasidone;dopamine, serotonin receptor antagonist (D2, 5-HT2);Depressive episodes associated with Bipolar I Disorder (bipolar depression) in adults, as monotherapy and as adjunctive therapy with lithium or valproate;20 mg to 120 mg per day;120 mg per day ;
Pharmacological;melatonin;melatonin receptor agonist (Mel1 and Mel2);;;;
Pharmacological;memantine;glutamate receptor antagonist (NMDA);;;;
Pharmacological;minocycline;tetracycline antibiotic with pleiotropic antineuroinflammatory properties;;;;
Pharmacological;moclobemide;serotonin, norepinephrine, dopamine reversible enzyme inhibitor (MAO-A);;;;
Pharmacological;modafinil;dopamine reuptake inhibitor (DAT);;;;
Nutraceutical;n-acetyl cysteine;pharmacological antioxidant and cytoprotectant acting as a reductant of disulfide bonds, a scavenger of reactive oxygen species and/or a precursor for glutathione biosynthesis;;;;
Pharmacological;naltrexone;opioid receptor antagonist (?,?);;;;
Pharmacological;olanzapine;dopamine, serotonin receptor antagonist (D2, 5-HT2);Bipolar I Disorder (manic or mixed episodes) in adults ;5 mg to 20 mg/day ;20 mg/day ;
Pharmacological;olanzapine;dopamine, serotonin receptor antagonist (D2, 5-HT2);Bipolar I Disorder (manic or mixed episodes) in adolescents ;2.5 to 20 mg/day ;20 mg/day ;
Pharmacological;olanzapine;dopamine, serotonin receptor antagonist (D2, 5-HT2);Agitation associated with Bipolar I Mania in adults;IM: 10 mg (5 mg or 7.5 mg when clinically warranted);;
Nutraceutical;omega3;polyunsaturated fatty acids mediate anti-inflammatory effects by suppressing lipogenic gene expression, increasing fatty acid beta-oxidation, increasing lipo-protein-lipase (LPL) expression, and influencing total body lipid accumulation.;;;;
Pharmacological;oxcarbazepine;glutamate voltage-gated sodium and calcium channel blocker;;;;
Pharmacological;paliperidone;dopamine, serotonin, norepinephrine receptor antagonist (D2, 5-HT2, NE alpha-2);Schizoaffective disorder ­ adults;3 - 12 mg/day ;12 mg/day ;
Pharmacological;paroxetine;serotonin reuptake inhibitor (SERT);;;;
Pharmacological;phenelzine;serotonin, norepinephrine, dopamine enzyme inhibitor (MAO-A and -B);;;;
Pharmacological;pindolol;beta adrenoceptor antagonist;;;;
Pharmacological;pioglitazone;thiazolidinediones act as synthetic ligands for peroxisome proliferator-activated receptors (PPARs). Pioglitazone improves glycaemic control by improving insulin sensitivity through its action on PPAR gamma 1 and PPAR gamma 2 and by affecting lipid metabolism through its action on PPAR alpha.;;;;
Pharmacological;placebo;a therapeutic effect, drug or non-drug, or part thereof, which objectively has no specific pharmacodynamic action in the condition being treated.;;;;
Pharmacological;pramipexole;dopamine receptor agonist (D2);;;;
Pharmacological;pregnenolone;precursor to gonadal steroid hormones and the adrenal corticosteroids;;;;
Psychosocial;psychoeducation;"an intervention that consists of six or more sessions in which patients, and sometimes family members, are given information about disease characteristics, the importance of adherence to treatment, early recognition of prodromal signs of relapse/recurrence, management of mood symptoms or comorbid conditions, and lifestyle regularity.

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021; 78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.";;;;
Psychosocial;psychoeducation brief  ;"is a brief form of psychoeducation consisting of fewer than 3 psychoeducation sessions delivered in a group, family, or individual format. Such interventions sometimes include skills training tasks for patients with bipolar disorder, such as regulating sleep-wake cycles or monitoring prodromal symptoms. A self-guided workbook is often included.

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021 Feb 1;78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.";;;;
Psychosocial;psychoeducation group ;"is a psychoeducational program provided in a group format.

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021; 78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.";;;;
Psychosocial;psychoeducation individual;"is a psychoeducational program provided in an individual format.

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021; 78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.";;;;
Pharmacological;quetiapine;dopamine, serotonin, norepinephrine receptor antagonist (D2, 5-HT2) and reuptake inhibitor (NET);Bipolar Mania- Adults Monotherapy;400– 800 mg/day;800 mg/day;
Pharmacological;quetiapine;dopamine, serotonin, norepinephrine receptor antagonist (D2, 5-HT2) and reuptake inhibitor (NET);Bipolar Mania- Children and Adolescents (10 to 17 years), Monotherapy;400–600 mg/day;600 mg/day;
Pharmacological;quetiapine;dopamine, serotonin, norepinephrine receptor antagonist (D2, 5-HT2) and reuptake inhibitor (NET);Bipolar Depression- Adults;300 mg/day;300 mg/day;
Pharmacological;ramelteon;melatonin receptor agonist (Mel1 and Mel2);;;;
Pharmacological;riluzole;glutamate antagonist;;;;
Pharmacological;risperidone;dopamine, serotonin, norepinephrine receptor antagonist (D2, 5-HT2, NE alpha-2);Bipolar mania – adults;1-6 mg/day;6 mg/day;
Pharmacological;risperidone;dopamine, serotonin, norepinephrine receptor antagonist (D2, 5-HT2, NE alpha-2);Bipolar mania in children/ adolescents;0.5-6 mg/day;6 mg/day;
Biological non-pharmacological;rTMS;is a non-invasive brain stimulation technique that uses electromagnetic pulses delivered by a powerful and focused electromagnetic coil to induce electrical currents in neural tissue, modulating neuronal activity in targeted brain regions. ;;;;
Pharmacological;sAME;it affects the regulation of a wide range of critical components of neurotransmission and is involved in three central metabolic pathways including trans-sulfuration, transaminopropylation, and methylation ;;;;
Pharmacological;selegiline;dopamine, norepinephrine, serotonin enzyme inhibitor (MAO-B and -A);;;;
Pharmacological;sertraline;serotonin reuptake inhibitor (SERT);;;;
Biological non-pharmacological;sham;is a control procedure or intervention that is similar to, but omits a key therapeutic element of the treatment or procedure under investigation;;;;
Psychosocial;supportive therapy;"Supportive therapy is an unstructured therapy without specific psychological techniques other than those common to all approaches and may be delivered in an individual or group format. It is based on the assumption that the therapeutic alliance is the crucial element of therapy and that relief from personal problems can be achieved through discussion with others.

Miklowitz DJ, Efthimiou O, Furukawa TA, Scott J, McLaren R, Geddes JR, Cipriani A. Adjunctive Psychotherapy for Bipolar Disorder: A Systematic Review and Component Network Meta-analysis. JAMA Psychiatry. 2021; 78(2):141-150. doi: 10.1001/jamapsychiatry.2020.2993.";;;;
Pharmacological;t3 hormone;Exogenous triiodothyronine exerts the effects of the endogenous thyroid T3 hormone;;;;
Pharmacological;t4 hormone;Exogenous T4 hormone refers to synthetic or supplemental thyroxine, which is a form of thyroid hormone;;;;
Pharmacological;tamoxifen;selective estrogen receptor modulator;;;;
Psychosocial;TAU;treatment as usual;;;;
Biological non-pharmacological;tDCS;is a non-invasive neuromodulation technique that delivers a well-tolerated electrical current to the brain through scalp electrodes.;;;;
Pharmacological;topiramate;GABA, glutamate facilitation of GABA transmission, receptor antagonist on AMPA and KA;;;;
Biological non-pharmacological;total sleep deprivation;"involves being deprived of total sleep for approximately 36 hours straight, from daytime until next day’s evening. Treatment usually consists in one to six cycles.

Ramirez-Mahaluf JP, Rozas-Serri E, Ivanovic-Zuvic F, Risco L, Vöhringer PA. Effectiveness of Sleep Deprivation in Treating Acute Bipolar Depression as Augmentation Strategy: A Systematic Review and Meta-Analysis. Front Psychiatry. 2020 Feb 25;11:70. doi: 10.3389/fpsyt.2020.00070.";;;;
Pharmacological;tranylcypromine;serotonin, norepinephrine, dopamine enzyme inhibitor (MAO-A and -B), releaser (DA, NE);;;;
Pharmacological;valnoctamide;a central nervous system active chiral constitutional isomer of valpromide, the corresponding amide of valproic acid, which exhibits stereoselective pharmacokinetics in humans and animals.;;;;
Pharmacological;venlafaxine;serotonin, norepinephrine reuptake inhibitor (SERT and NET);;;;
Pharmacological;verapamil;non-dihydropyridine calcium channel blocker;;;;
Pharmacological;vitD3;exogenous vitamine D3 is commonly used to supplement dietary intake and ensure adequate levels of vitamin D ;;;;
Nutraceutical;withania somnifer;is a medicinal herb reported to have antioxidant, anti-inflammatory, and immunomodulatory properties;;;;
Pharmacological;ziprasidone;dopamine, serotonin receptor antagonist (D2, 5-HT2);Acute treatment as monotherapy of manic or mixed episodes associated with bipolar I disorder;40-80 mg twice daily;;
Pharmacological;ziprasidone;dopamine, serotonin receptor antagonist (D2, 5-HT2);Maintenance treatment of bipolar I disorder as an adjunct to lithium or valproate;40-80 mg twice daily;;
Pharmacological;zonisamide;sulfonamide anticonvulsant may act by blocking repetitive firing of voltage-sensitive sodium channels and reducing voltage-sensitive T-type calcium currents;;;;
